,name_of_movie,year_of_released,duration,rating,metascore,vote,gross_of_movie
0,The Shawshank Redemption,1994,142  ,9.3,82,"2,747,322",$28.34M
1,The Godfather,1972,175  ,9.2,100,"1,910,782",$134.97M
2,Spider-Man: Across the Spider-Verse,2023,140  ,9.1,86,"50,471",#16
3,The Dark Knight,2008,152  ,9.0,84,"2,719,947",$534.86M
4,Schindler's List,1993,195  ,9.0,95,"1,385,840",$96.90M
5,The Godfather Part II,1974,202  ,9.0,90,"1,301,667",$57.30M
6,12 Angry Men,1957,96  ,9.0,97,"813,497",$4.36M
7,The Lord of the Rings: The Return of the King,2003,201  ,9.0,94,"1,888,117",$377.85M
8,Pulp Fiction,1994,154  ,8.9,95,"2,110,986",$107.93M
9,Inception,2010,148  ,8.8,74,"2,414,457",$292.58M
10,Fight Club,1999,139  ,8.8,66,"2,187,722",$37.03M
11,The Lord of the Rings: The Fellowship of the Ring,2001,178  ,8.8,92,"1,916,724",$315.54M
12,Forrest Gump,1994,142  ,8.8,82,"2,137,427",$330.25M
13,"The Good, the Bad and the Ugly",1966,178  ,8.8,90,"777,624",$6.10M
14,The Lord of the Rings: The Two Towers,2002,179  ,8.8,87,"1,704,165",$342.55M
15,Jai Bhim,2021,164  ,8.8,***,"206,917",#235
16,777 Charlie,2022,164  ,8.8,***,"34,884",###
17,Rocketry: The Nambi Effect,2022,157  ,8.8,***,"53,514",###
18,Interstellar,2014,169  ,8.7,74,"1,912,318",$188.02M
19,Goodfellas,1990,145  ,8.7,92,"1,192,413",$46.84M
20,The Matrix,1999,136  ,8.7,73,"1,958,969",$171.48M
21,One Flew Over the Cuckoo's Nest,1975,133  ,8.7,84,"1,029,258",$112.00M
22,Star Wars: Episode V - The Empire Strikes Back,1980,124  ,8.7,82,"1,321,848",$290.48M
23,Soorarai Pottru,2020,153  ,8.7,***,"119,541",###
24,The Green Mile,1999,189  ,8.6,61,"1,335,915",$136.80M
25,Se7en,1995,127  ,8.6,65,"1,698,780",$100.13M
26,The Silence of the Lambs,1991,118  ,8.6,86,"1,468,386",$130.74M
27,Star Wars: Episode IV - A New Hope,1977,121  ,8.6,90,"1,394,303",$322.74M
28,Saving Private Ryan,1998,169  ,8.6,91,"1,424,170",$216.54M
29,Spirited Away,2001,125  ,8.6,96,"790,483",$10.06M
30,Terminator 2: Judgment Day,1991,137  ,8.6,75,"1,123,665",$204.84M
31,City of God,2002,130  ,8.6,79,"771,250",$7.56M
32,Life Is Beautiful,1997,116  ,8.6,59,"711,463",$57.60M
33,Seven Samurai,1954,207  ,8.6,98,"352,980",$0.27M
34,It's a Wonderful Life,1946,130  ,8.6,89,"472,327",#21
35,Harakiri,1962,133  ,8.6,85,"61,050",#46
36,Sita Ramam,2022,163  ,8.6,***,"60,011",###
37,Parasite,2019,132  ,8.5,96,"855,817",$53.37M
38,The Departed,2006,151  ,8.5,85,"1,357,035",$132.38M
39,Whiplash,2014,106  ,8.5,89,"905,450",$13.09M
40,Léon: The Professional,1994,110  ,8.5,64,"1,190,035",$19.50M
41,Back to the Future,1985,116  ,8.5,87,"1,239,565",$210.61M
42,Gladiator,2000,155  ,8.5,67,"1,536,974",$187.71M
43,The Prestige,2006,130  ,8.5,66,"1,365,249",$53.09M
44,Alien,1979,117  ,8.5,89,"903,812",$78.90M
45,Casablanca,1942,102  ,8.5,100,"583,791",$1.02M
46,The Lion King,1994,88  ,8.5,88,"1,086,032",$422.78M
47,American History X,1998,119  ,8.5,62,"1,143,788",$6.72M
48,The Pianist,2002,150  ,8.5,85,"856,704",$32.57M
49,The Usual Suspects,1995,106  ,8.5,77,"1,104,882",$23.34M
50,Psycho,1960,109  ,8.5,97,"688,078",$32.00M
51,The Intouchables,2011,112  ,8.5,57,"882,064",$13.18M
52,Once Upon a Time in the West,1968,165  ,8.5,82,"337,309",$5.32M
53,Grave of the Fireflies,1988,89  ,8.5,94,"287,589",#45
54,Rear Window,1954,112  ,8.5,100,"502,125",$36.76M
55,Cinema Paradiso,1988,155  ,8.5,80,"268,627",$11.99M
56,Modern Times,1936,87  ,8.5,96,"248,453",$0.16M
57,City Lights,1931,87  ,8.5,99,"188,634",$0.02M
58,96,II 2018,158  ,8.5,***,"33,175",###
59,Spider-Man: Into the Spider-Verse,2018,117  ,8.4,87,"571,554",$190.24M
60,Avengers: Endgame,2019,181  ,8.4,78,"1,181,261",$858.37M
61,Indiana Jones and the Raiders of the Lost Ark,1981,115  ,8.4,85,"987,273",$248.16M
62,Avengers: Infinity War,2018,149  ,8.4,68,"1,124,570",$678.82M
63,The Shining,1980,146  ,8.4,66,"1,049,808",$44.02M
64,Joker,I 2019,122  ,8.4,59,"1,355,741",$335.45M
65,Django Unchained,2012,165  ,8.4,81,"1,600,379",$162.81M
66,Oldboy,2003,120  ,8.4,77,"596,759",$0.71M
67,Apocalypse Now,1979,147  ,8.4,94,"682,504",$83.47M
68,Memento,2000,113  ,8.4,81,"1,264,170",$25.54M
69,The Dark Knight Rises,2012,164  ,8.4,78,"1,742,522",$448.14M
70,Come and See,1985,142  ,8.4,***,"86,053",#93
71,Aliens,1986,137  ,8.4,84,"732,856",$85.16M
72,Your Name.,2016,106  ,8.4,79,"287,262",$5.02M
73,Coco,I 2017,105  ,8.4,81,"534,912",$209.73M
74,WALL·E,2008,98  ,8.4,95,"1,143,554",$223.81M
75,Amadeus,1984,160  ,8.4,88,"409,902",$51.97M
76,The Lives of Others,2006,137  ,8.4,89,"396,794",$11.29M
77,Capernaum,2018,126  ,8.4,75,"95,361",$1.66M
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95  ,8.4,97,"500,608",$0.28M
79,Das Boot,1981,149  ,8.4,86,"255,730",$11.49M
80,Sunset Blvd.,1950,110  ,8.4,94,"226,973",#60
81,3 Idiots,2009,170  ,8.4,67,"411,041",$6.53M
82,Witness for the Prosecution,1957,116  ,8.4,76,"129,612",$8.18M
83,Paths of Glory,1957,88  ,8.4,90,"202,311",#61
84,The Great Dictator,1940,125  ,8.4,***,"228,839",$0.29M
85,High and Low,1963,143  ,8.4,90,"47,851",#86
86,Kaithi,2019,145  ,8.4,***,"36,154",###
87,Sardar Udham,2021,164  ,8.4,***,"44,167",###
88,Drishyam 2,2021,152  ,8.4,***,"39,029",###
89,Asuran,2019,141  ,8.4,***,"31,212",###
90,Top Gun: Maverick,2022,130  ,8.3,78,"591,364",$718.73M
91,Heat,1995,170  ,8.3,76,"676,953",$67.44M
92,Good Will Hunting,1997,126  ,8.3,70,"1,004,482",$138.43M
93,Inglourious Basterds,2009,153  ,8.3,69,"1,492,872",$120.54M
94,American Beauty,1999,122  ,8.3,84,"1,173,969",$130.10M
95,Requiem for a Dream,2000,102  ,8.3,71,"862,078",$3.64M
96,Braveheart,1995,178  ,8.3,68,"1,056,166",$75.60M
97,Scarface,1983,170  ,8.3,65,"866,710",$45.60M
98,Once Upon a Time in America,1984,229  ,8.3,75,"360,523",$5.32M
99,2001: A Space Odyssey,1968,149  ,8.3,84,"685,828",$56.95M
